MQ3,MQ2,MQ6,MQ5,MQ135,MQ4,MQ8,MQ9,HUM,TEMPC,TEMPF,TARGET
393,1859,1713,2063,1705,715,173,354,"55.60
%",28.7,83.66,0
388,1860,1691,2062,1706,720,240,357,"55.60
%",28.7,83.66,0
400,1861,1685,2059,1707,720,131,362,"55.60
%",28.7,83.66,0
398,1859,1693,2047,1709,720,171,357,"55.70
%",28.7,83.66,0
394,1847,1686,2064,1703,720,166,357,"55.70
%",28.7,83.66,0
381,1856,1690,2060,1702,703,169,355,"55.60
%",28.7,83.66,0
391,1841,1689,2057,1698,720,163,354,"55.60
%",28.7,83.66,0
391,1840,1686,2053,1691,717,163,360,"55.50
%",28.7,83.66,0
400,1837,1689,2045,1699,717,167,357,"55.50
%",28.7,83.66,0
304,1841,1671,2047,1702,719,170,343,"55.40
%",28.7,83.66,0
389,1840,1681,2047,1699,719,165,353,"55.40
%",28.7,83.66,0
388,1840,1682,2055,1703,715,163,356,"55.40
%",28.7,83.66,0
385,1842,1691,2054,1698,713,162,355,"55.40
%",28.7,83.66,0
387,1840,1689,2055,1696,708,167,365,"55.30
%",28.7,83.66,0
386,1835,1798,2047,1700,717,160,356,"55.30
%",28.7,83.66,0
385,1831,1684,2053,1701,720,163,357,"55.40
%",28.7,83.66,0
418,1831,1691,2047,1699,717,159,361,"55.40
%",28.7,83.66,0
385,1834,1690,2053,1709,714,158,357,"55.40
%",28.7,83.66,0
383,1825,1680,2043,1696,719,157,357,"55.40
%",28.7,83.66,0
386,1830,1675,2047,1698,720,165,370,"55.40
%",28.8,83.84,0
388,1735,1688,2054,1700,715,164,341,"55.40
%",28.8,83.84,0
390,1831,1693,2055,1707,720,161,358,"55.50
%",28.8,83.84,0
384,1831,1699,2064,1707,719,157,359,"55.50
%",28.8,83.84,0
386,1831,1701,2061,1707,723,161,356,"55.50
%",28.8,83.84,0
387,1829,1695,2060,1706,715,163,359,"55.50
%",28.8,83.84,0
387,1830,1694,2063,1707,727,161,357,"55.40
%",28.8,83.84,0
393,1835,1696,2059,1693,719,162,364,"55.40
%",28.8,83.84,0
395,1837,1680,2064,1697,717,169,358,"55.50
%",28.8,83.84,0
390,1835,1692,2057,1698,712,169,363,"55.50
%",28.8,83.84,0
385,1838,1693,2055,1699,715,167,359,"55.50
%",28.8,83.84,0
400,1839,1680,2047,1698,720,167,357,"55.50
%",28.8,83.84,0
400,1840,1693,2047,1691,717,167,359,"55.40
%",28.8,83.84,0
409,1843,1697,2064,1706,720,171,362,"55.40
%",28.8,83.84,0
402,1842,1681,2059,1742,717,154,362,"55.30
%",28.8,83.84,0
404,1847,1698,2053,1692,720,169,355,"55.30
%",28.8,83.84,0
402,1843,1666,2058,1699,720,166,357,"55.40
%",28.9,84.02,0
401,1846,1696,2053,1691,717,189,361,"55.40
%",28.9,84.02,0
398,1841,1695,2055,1696,711,174,357,"55.40
%",28.8,83.84,0
393,1835,1693,2057,1654,709,169,360,"55.40
%",28.8,83.84,0
399,1836,1697,2064,1705,725,168,391,"55.30
%",28.9,84.02,0
390,1836,1698,2047,1685,717,165,366,"55.30
%",28.9,84.02,0
391,1834,1695,2061,1696,720,173,357,"55.30
%",28.9,84.02,0
393,1833,1694,2055,1699,720,174,359,"55.30
%",28.9,84.02,0
390,1828,1693,2063,1697,722,175,364,"55.30
%",28.9,84.02,0
385,1825,1695,2062,1696,715,174,362,"55.30
%",28.9,84.02,0
382,1824,1689,2087,1697,718,166,363,"55.30
%",28.9,84.02,0
384,1825,1694,2047,1695,720,174,367,"55.30
%",28.9,84.02,0
394,1828,1680,2061,1698,718,170,359,"55.20
%",28.9,84.02,0
381,1827,1693,2063,1697,737,173,365,"55.20
%",28.9,84.02,0
383,1840,1698,2057,1697,734,179,363,"55.20
%",28.9,84.02,0
384,1830,1697,2060,1696,717,217,366,"55.20
%",28.9,84.02,0
375,1825,1689,2047,1694,723,175,361,"55.30
%",28.9,84.02,0
373,1823,1681,2046,1687,720,176,364,"55.30
%",28.9,84.02,0
371,1821,1691,2054,1696,730,173,361,"55.30
%",28.9,84.02,0
379,1822,1695,2057,1691,720,173,366,"55.30
%",28.9,84.02,0
374,1818,1693,2058,1687,711,173,423,"55.30
%",28.9,84.02,0
373,1813,1694,2053,1696,720,169,363,"55.30
%",28.9,84.02,0
415,1809,1686,2054,1696,721,165,353,"55.20
%",28.9,84.02,0
375,1810,1694,2063,1694,718,172,362,"55.20
%",28.9,84.02,0
375,1809,1691,2037,1693,720,166,359,"55.20
%",28.9,84.02,0
379,1808,1693,2047,1686,715,160,365,"55.20
%",28.9,84.02,0
373,1808,1689,2033,1691,723,165,361,"55.20
%",28.9,84.02,0
373,1808,1687,2046,1691,720,194,361,"55.20
%",28.9,84.02,0
368,1811,1695,2061,1700,720,151,358,"55.20
%",29,84.2,0
368,1811,1696,2047,1667,720,166,365,"55.20
%",29,84.2,0
382,1813,1697,2046,1689,719,162,363,"55.30
%",29,84.2,0
399,1814,1696,2055,1687,720,164,368,"55.30
%",29,84.2,0
377,1808,1687,2047,1667,720,166,368,"55.40
%",29,84.2,0
370,1808,1682,2055,1695,720,155,363,"55.40
%",29,84.2,0
369,1806,1691,2053,1686,714,148,358,"55.30
%",29,84.2,0
374,1801,1665,2037,1683,717,158,361,"55.30
%",29,84.2,0
373,1798,1687,2039,1683,720,158,363,"55.30
%",29,84.2,0
338,1794,1703,2057,1683,719,158,362,"55.30
%",29,84.2,0
372,1793,1681,2038,1683,714,161,367,"55.20
%",29,84.2,0
369,1790,1683,2039,1664,731,165,359,"55.20
%",29,84.2,0
367,1784,1687,2045,1690,720,159,363,"55.20
%",29,84.2,0
369,1786,1695,2059,1688,719,191,363,"55.20
%",29,84.2,0
373,1792,1681,2045,1686,720,166,362,"55.20
%",29,84.2,0
369,1781,1682,2041,1683,719,159,361,"55.20
%",29,84.2,0
374,1780,1686,2046,1685,720,162,356,"55.20
%",29,84.2,0
368,1782,1696,2047,1697,719,162,359,"55.20
%",29,84.2,0
371,1793,1687,2047,1693,720,178,361,"55.10
%",29,84.2,0
375,1794,1682,2047,1694,724,185,384,"55.10
%",29,84.2,0
368,1800,1696,2056,1695,727,223,364,"55.10
%",29,84.2,0
373,1801,1694,2046,1690,727,183,368,"55.10
%",29,84.2,0
371,1806,1697,2061,1697,720,179,360,"55.10
%",29,84.2,0
368,1808,1701,2054,1700,721,183,366,"55.10
%",29,84.2,0
373,1806,1698,2065,1690,719,176,361,"55.10
%",29,84.2,0
375,1808,1701,2059,1664,720,185,324,"55.10
%",29,84.2,0
373,1808,1698,2061,1695,718,177,360,"55.10
%",29,84.2,0
374,1803,1693,2045,1690,720,175,363,"55.10
%",29,84.2,0
371,1781,1691,2039,1687,723,174,365,"55.10
%",29,84.2,0
368,1794,1691,2045,1686,722,175,363,"55.10
%",29,84.2,0
368,1777,1690,2055,1689,720,174,362,"55.10
%",29,84.2,0
370,1791,1697,2054,1683,720,170,364,"55.10
%",29,84.2,0
368,1781,1694,2055,1695,732,172,363,"55.10
%",29,84.2,0
366,1776,1686,2047,1695,714,161,362,"55.10
%",29,84.2,0
367,1779,1695,2053,1690,719,160,359,"55.10
%",29.1,84.38,0
366,1770,1685,2046,1693,720,161,358,"55.10
%",29.1,84.38,0
364,1770,1697,2045,1685,715,154,368,"55.10
%",29,84.2,0
361,1767,1692,2047,1691,715,159,363,"55.10
%",29,84.2,0
368,1762,1693,2054,1683,715,164,365,"55.10
%",29,84.2,0
363,1767,1686,2054,1690,719,160,335,"55.10
%",29,84.2,0
365,1765,1696,2057,1685,720,163,364,"55.10
%",29.1,84.38,0
363,1767,1693,2043,1686,717,147,361,"55.10
%",29.1,84.38,0
363,1772,1691,2061,1685,719,164,359,"55.10
%",29.1,84.38,0
366,1775,1712,2046,1698,721,174,362,"55.10
%",29.1,84.38,0
368,1776,1731,2058,1686,721,172,368,"55.00
%",29.1,84.38,0
338,1763,1697,2060,1755,719,170,364,"55.00
%",29.1,84.38,0
366,1767,1690,2047,1681,726,173,366,"55.00
%",29.1,84.38,0
362,1767,1693,2054,1680,644,167,363,"55.00
%",29.1,84.38,0
359,1745,1680,2046,1684,720,165,361,"55.00
%",29.1,84.38,0
357,1768,1687,2045,1686,720,160,365,"55.00
%",29.1,84.38,0
365,1762,1690,2065,1686,720,167,365,"55.00
%",29.1,84.38,0
362,1758,1693,2035,1680,714,161,364,"55.00
%",29.1,84.38,0
353,1754,1692,2044,1678,720,163,383,"55.00
%",29.1,84.38,0
353,1744,1685,2046,1680,720,157,362,"55.00
%",29.1,84.38,0
359,1746,1683,2035,1680,719,159,361,"55.10
%",29.1,84.38,0
358,1742,1694,2043,1677,714,176,361,"55.10
%",29.1,84.38,0
362,1747,1690,2055,1680,720,156,357,"55.10
%",29.1,84.38,0
359,1744,1683,2032,1674,718,160,364,"55.10
%",29.1,84.38,0
355,1742,1682,2041,1677,711,153,355,"55.10
%",29.1,84.38,0
357,1738,1680,2039,1667,704,154,355,"55.10
%",29.1,84.38,0
357,1735,1683,2035,1678,714,155,357,"55.10
%",29.1,84.38,0
359,1736,1687,2033,1667,714,157,357,"55.10
%",29.1,84.38,0
354,1739,1689,2041,1670,710,155,365,"55.00
%",29.1,84.38,0
357,1740,1725,2038,1668,709,151,362,"55.00
%",29.1,84.38,0
356,1738,1686,2038,1671,711,158,365,"55.00
%",29.1,84.38,0
363,1735,1679,2033,1671,714,163,361,"55.00
%",29.1,84.38,0
355,1737,1681,2032,1667,716,165,359,"55.00
%",29.1,84.38,0
354,1738,1680,2033,1669,575,167,359,"55.00
%",29.1,84.38,0
350,1739,1682,2037,1673,715,175,357,"54.90
%",29.1,84.38,0
347,1728,1683,2027,1663,713,179,357,"54.90
%",29.1,84.38,0
345,1741,1684,2032,1664,695,180,356,"55.00
%",29.1,84.38,0
346,1740,1680,2035,1662,713,176,347,"55.00
%",29.1,84.38,0
349,1739,1680,2033,1667,710,174,352,"54.90
%",29.1,84.38,0
347,1730,1682,2034,1662,704,165,358,"54.90
%",29.1,84.38,0
342,1723,1677,2029,1664,711,170,355,"54.90
%",29.2,84.56,0
356,1733,1677,2032,1655,704,183,350,"54.90
%",29.2,84.56,0
346,1725,1675,2025,1659,706,163,353,"54.90
%",29.2,84.56,0
346,1726,1680,2032,1661,710,160,349,"54.90
%",29.2,84.56,0
352,1722,1679,2023,1680,711,161,357,"54.90
%",29.2,84.56,0
346,1720,1666,2020,1603,690,159,357,"54.90
%",29.2,84.56,0
350,1715,1677,2023,1651,705,158,357,"54.90
%",29.2,84.56,0
340,1709,1667,2024,1653,694,158,353,"54.90
%",29.2,84.56,0
343,1712,1714,2022,1654,709,157,352,"54.90
%",29.2,84.56,0
341,1706,1669,2028,1659,710,158,352,"54.90
%",29.2,84.56,0
339,1712,1678,2021,1648,704,157,354,"54.80
%",29.2,84.56,0
338,1708,1667,2020,1655,707,157,352,"54.80
%",29.2,84.56,0
323,1715,1665,2017,1648,705,161,351,"54.80
%",29.2,84.56,0
340,1713,1671,2015,1634,707,167,350,"54.80
%",29.2,84.56,0
339,1742,1663,2021,1653,719,169,355,"54.80
%",29.2,84.56,0
337,1715,1666,2021,1594,708,165,355,"54.80
%",29.2,84.56,0
337,1712,1664,2019,1642,704,162,352,"54.80
%",29.2,84.56,0
335,1712,1662,2016,1648,702,163,352,"54.80
%",29.2,84.56,0
336,1705,1669,2015,1647,700,166,351,"54.80
%",29.2,84.56,0
337,1714,1669,2014,1649,699,165,355,"54.80
%",29.2,84.56,0
336,1712,1664,2010,1648,703,161,354,"54.70
%",29.2,84.56,0
337,1712,1665,2014,1647,706,163,355,"54.70
%",29.2,84.56,0
337,1712,1675,2029,1643,710,156,355,"54.80
%",29.2,84.56,0
352,1711,1668,2010,1647,705,160,356,"54.80
%",29.2,84.56,0
388,1710,1673,2014,1647,704,156,355,"54.70
%",29.2,84.56,0
340,1715,1674,2019,1647,717,151,339,"54.70
%",29.2,84.56,0
341,1714,1671,2019,1655,705,162,357,"54.70
%",29.2,84.56,0
272,1712,1669,2019,1652,706,164,352,"54.70
%",29.2,84.56,0
346,1728,1674,2013,1646,706,84,357,"54.70
%",29.2,84.56,0
342,1734,1678,2019,1645,701,170,353,"54.70
%",29.2,84.56,0
379,1740,1673,2021,1660,709,173,357,"54.80
%",29.2,84.56,0
409,1742,1669,2016,1715,703,166,356,"54.80
%",29.2,84.56,0
356,1744,1668,2017,1648,710,178,348,"54.90
%",29.3,84.74,0
356,1754,1677,2019,1645,707,170,355,"54.90
%",29.3,84.74,0
356,1776,1662,2021,1648,707,176,359,"54.80
%",29.3,84.74,0
351,1756,1671,2018,1649,705,176,353,"54.80
%",29.3,84.74,0
348,1755,1673,2014,1649,704,176,355,"54.70
%",29.3,84.74,0
331,1751,1670,2024,1653,708,175,361,"54.70
%",29.3,84.74,0
349,1751,1679,2030,1648,705,176,358,"54.70
%",29.3,84.74,0
349,1745,1671,2009,1641,709,170,355,"54.70
%",29.3,84.74,0
343,1744,1675,2023,1646,702,171,354,"54.70
%",29.3,84.74,0
344,1743,1667,2021,1648,707,171,354,"54.70
%",29.3,84.74,0
343,1739,1674,2026,1648,709,173,355,"54.70
%",29.3,84.74,0
343,1735,1670,2017,1646,709,164,360,"54.70
%",29.3,84.74,0
336,1733,1669,2018,1646,679,160,366,"54.70
%",29.3,84.74,0
339,1723,1677,2016,1644,707,159,355,"54.70
%",29.3,84.74,0
341,1726,1677,2015,1644,704,159,357,"54.60
%",29.3,84.74,0
336,1718,1667,2016,1648,706,158,361,"54.60
%",29.3,84.74,0
344,1720,1670,2017,1642,709,150,356,"54.60
%",29.3,84.74,0
337,1714,1667,2013,1645,709,155,362,"54.60
%",29.3,84.74,0
338,1721,1669,2016,1642,704,158,357,"54.60
%",29.3,84.74,0
338,1715,1674,2022,1648,708,154,357,"54.60
%",29.3,84.74,0
341,1715,1675,2021,1639,697,151,355,"54.60
%",29.3,84.74,0
336,1712,1667,2017,1616,707,159,359,"54.60
%",29.3,84.74,0
336,1714,1678,2021,1639,707,155,354,"54.60
%",29.3,84.74,0
337,1712,1663,2022,1648,709,158,362,"54.60
%",29.3,84.74,0
339,1709,1679,2018,1639,707,155,355,"54.50
%",29.3,84.74,0
331,1705,1670,2024,1643,704,155,359,"54.50
%",29.3,84.74,0
336,1703,1674,2015,1632,701,150,358,"54.40
%",29.3,84.74,0
336,1701,1679,2019,1639,706,148,355,"54.40
%",29.3,84.74,0
336,1698,1667,2015,1635,705,151,358,"54.20
%",29.3,84.74,0
332,1697,1666,2018,1643,704,146,358,"54.20
%",29.3,84.74,0
332,1694,1663,2011,1643,707,146,355,"54.20
%",29.3,84.74,0
321,1695,1641,1981,1609,698,141,354,"54.20
%",29.3,84.74,0
323,1694,1633,1978,1609,701,144,354,"54.30
%",29.3,84.74,0
321,1696,1623,1969,1598,699,141,362,"54.30
%",29.3,84.74,0
323,1698,1636,1984,1609,705,142,362,"54.40
%",29.3,84.74,0
319,1693,1631,1973,1600,699,131,357,"54.40
%",29.3,84.74,0
319,1684,1625,1949,1596,695,134,355,"54.40
%",29.3,84.74,0
320,1683,1633,1973,1602,701,140,363,"54.40
%",29.3,84.74,0
296,1682,1635,1978,1600,699,141,359,"54.30
%",29.4,84.92,0
320,1680,1629,1968,1571,697,138,355,"54.30
%",29.4,84.92,0
320,1679,1648,1984,1601,695,137,359,"54.30
%",29.3,84.74,0
321,1679,1639,1985,1603,699,141,358,"54.30
%",29.3,84.74,0
318,1679,1634,1971,1600,721,137,364,"54.30
%",29.4,84.92,0
324,1670,1689,1997,1601,707,143,359,"54.30
%",29.4,84.92,0
320,1674,1646,1984,1611,701,138,357,"54.30
%",29.4,84.92,0
286,1674,1642,2000,1601,700,141,359,"54.30
%",29.4,84.92,0
323,1667,1641,1979,1600,699,138,354,"54.50
%",29.4,84.92,0
326,1669,1638,1977,1602,704,141,355,"54.50
%",29.4,84.92,0
320,1645,1636,1968,1595,695,137,357,"54.50
%",29.4,84.92,0
329,1665,1633,1968,1599,703,142,361,"54.50
%",29.4,84.92,0
324,1678,1606,1945,1573,697,141,355,"54.50
%",29.4,84.92,0
333,1684,1630,1968,1595,704,142,362,"54.50
%",29.4,84.92,0
327,1687,1630,1968,1587,698,144,354,"54.50
%",29.5,85.1,0
331,1680,1623,1955,1584,669,144,356,"54.50
%",29.5,85.1,0
325,1681,1599,1925,1553,693,138,361,"54.40
%",29.5,85.1,0
329,1681,1632,1964,1583,695,143,361,"54.40
%",29.5,85.1,0
326,1681,1622,1962,1584,698,141,359,"54.30
%",29.5,85.1,0
322,1673,1617,1949,1582,695,139,358,"54.30
%",29.5,85.1,0
331,1674,1616,1953,1587,693,140,359,"54.30
%",29.5,85.1,0
325,1678,1616,1949,1581,697,142,358,"54.30
%",29.5,85.1,0
324,1679,1589,1922,1553,643,141,360,"54.30
%",29.5,85.1,0
323,1673,1621,1963,1584,689,137,355,"54.30
%",29.5,85.1,0
320,1664,1619,1949,1575,691,131,353,"53.80
%",29.5,85.1,0
323,1659,1615,1951,1579,698,144,326,"53.80
%",29.5,85.1,0
320,1648,1617,1951,1582,699,128,353,"53.00
%",29.5,85.1,0
315,1643,1599,1926,1550,688,126,357,"53.00
%",29.5,85.1,0
313,1635,1606,1939,1562,691,125,352,"52.80
%",29.6,85.28,0
311,1632,1585,1917,1525,686,121,356,"52.80
%",29.6,85.28,0
306,1630,1584,1911,1535,688,123,352,"52.60
%",29.6,85.28,0
317,1630,1611,1949,1573,704,129,352,"52.60
%",29.6,85.28,0
322,1637,1611,1945,1557,688,129,354,"53.00
%",29.6,85.28,0
329,1655,1616,1952,1577,697,141,353,"53.00
%",29.6,85.28,0
329,1655,1616,1947,1581,698,141,356,"53.50
%",29.6,85.28,0
325,1648,1599,1937,1563,688,137,360,"53.50
%",29.6,85.28,0
321,1651,1617,2015,1581,693,141,354,"53.70
%",29.6,85.28,0
325,1655,1615,1951,1577,690,144,349,"53.70
%",29.6,85.28,0
321,1661,1616,1941,1574,691,144,357,"53.80
%",29.6,85.28,0
353,1665,1613,1936,1511,693,144,356,"53.80
%",29.6,85.28,0
322,1666,1600,1932,1558,688,144,362,"53.80
%",29.6,85.28,0
322,1664,1616,1950,1575,691,145,358,"53.80
%",29.6,85.28,0
317,1670,1589,1917,1543,686,142,357,"53.90
%",29.6,85.28,0
321,1680,1620,1954,1575,692,146,366,"53.90
%",29.6,85.28,0
318,1666,1603,1929,1555,693,144,359,"53.90
%",29.6,85.28,0
316,1665,1585,1930,1553,689,145,361,"53.90
%",29.6,85.28,0
314,1664,1589,1923,1550,688,144,357,"53.80
%",29.7,85.46,0
321,1664,1623,1959,1582,695,160,355,"53.80
%",29.7,85.46,0
329,1663,1617,1951,1583,699,151,359,"53.90
%",29.7,85.46,0
315,1661,1606,1937,1566,693,142,355,"53.90
%",29.7,85.46,0
309,1659,1585,1916,1543,686,137,354,"53.80
%",29.7,85.46,0
306,1659,1581,1895,1531,688,134,361,"53.80
%",29.7,85.46,0
315,1656,1601,1921,1552,693,138,365,"53.80
%",29.7,85.46,0
315,1653,1603,1925,1549,688,138,357,"53.80
%",29.7,85.46,0
317,1648,1619,1966,1581,695,140,353,"53.80
%",29.7,85.46,0
317,1650,1626,1951,1581,699,139,355,"53.80
%",29.7,85.46,0
313,1643,1626,1952,1583,697,143,358,"53.80
%",29.7,85.46,0
314,1648,1602,1925,1552,689,97,354,"53.80
%",29.7,85.46,0
317,1646,1623,1955,1572,693,136,354,"53.70
%",29.7,85.46,0
314,1642,1597,1933,1554,689,130,389,"53.70
%",29.7,85.46,0
311,1643,1595,1920,1549,690,128,358,"53.70
%",29.7,85.46,0
315,1648,1601,1927,1554,690,128,353,"53.70
%",29.7,85.46,0
315,1606,1610,1938,1563,692,130,354,"53.70
%",29.7,85.46,0
313,1616,1603,1927,1553,690,129,355,"53.70
%",29.7,85.46,0
311,1634,1606,1925,1553,689,129,354,"53.60
%",29.7,85.46,0
329,1632,1611,1918,1562,691,129,355,"53.60
%",29.7,85.46,0
309,1635,1593,1909,1529,688,209,354,"53.60
%",29.7,85.46,0
317,1629,1601,1925,1552,688,128,355,"53.60
%",29.7,85.46,0
310,1626,1603,1925,1547,688,129,354,"53.60
%",29.7,85.46,0
313,1629,1615,1938,1561,688,131,356,"53.60
%",29.7,85.46,0
316,1623,1619,1948,1571,693,129,355,"53.60
%",29.7,85.46,0
309,1622,1621,1951,1571,689,131,356,"53.60
%",29.7,85.46,0
314,1623,1606,1949,1571,690,129,343,"53.60
%",29.7,85.46,0
315,1621,1633,1967,1584,693,133,350,"53.60
%",29.7,85.46,0
320,1616,1631,1957,1583,691,132,357,"53.50
%",29.7,85.46,0
316,1618,1637,1968,1584,693,141,353,"53.50
%",29.7,85.46,0
317,1617,1633,1957,1584,695,141,349,"53.50
%",29.7,85.46,0
318,1619,1636,1963,1584,695,139,352,"53.50
%",29.7,85.46,0
317,1618,1634,1959,1586,695,141,360,"53.50
%",29.7,85.46,0
316,1618,1632,1966,1589,699,139,352,"53.50
%",29.7,85.46,0
316,1493,1639,1968,1589,691,141,350,"53.40
%",29.7,85.46,0
309,1616,1616,1935,1564,688,134,337,"53.40
%",29.7,85.46,0
307,1616,1588,1909,1530,686,130,353,"53.40
%",29.7,85.46,0
310,1618,1619,1951,1569,688,133,352,"53.40
%",29.7,85.46,0
313,1619,1616,1955,1558,686,144,350,"53.50
%",29.7,85.46,0
311,1619,1616,1947,1571,692,143,348,"53.50
%",29.7,85.46,0
316,1632,1611,1937,1568,689,144,347,"53.50
%",29.7,85.46,0
311,1620,1634,1958,1584,690,144,349,"53.50
%",29.7,85.46,0
303,1632,1585,1906,1534,687,144,352,"53.50
%",29.7,85.46,0
304,1623,1584,1903,1525,685,143,349,"53.50
%",29.7,85.46,0
302,1625,1568,1893,1520,679,140,353,"53.40
%",29.7,85.46,0
304,1628,1610,1888,1510,655,135,350,"53.40
%",29.7,85.46,0
302,1626,1579,1897,1518,685,141,350,"53.40
%",29.7,85.46,0
304,1626,1596,1905,1532,687,139,356,"53.40
%",29.7,85.46,0
301,1624,1570,1887,1514,686,140,355,"53.40
%",29.7,85.46,0
300,1632,1558,1870,1488,683,135,347,"53.40
%",29.7,85.46,0
301,1637,1555,1867,1488,685,141,350,"53.50
%",29.7,85.46,0
303,1638,1551,1865,1483,684,140,357,"53.50
%",29.7,85.46,0
305,1635,1602,1922,1524,688,139,346,"53.50
%",29.7,85.46,0
314,1653,1625,1947,1558,691,144,365,"53.50
%",29.7,85.46,0
307,1632,1602,1919,1543,722,139,352,"53.50
%",29.7,85.46,0
301,1637,1584,1890,1514,685,128,352,"53.50
%",29.7,85.46,0
304,1626,1578,1890,1515,687,132,355,"53.50
%",29.7,85.46,0
339,1622,1632,1948,1535,698,144,361,"53.50
%",29.7,85.46,0
304,1625,1577,1885,1513,685,130,322,"53.50
%",29.7,85.46,0
304,1625,1565,1875,1501,688,134,352,"53.50
%",29.7,85.46,0
304,1625,1605,1920,1554,687,138,353,"53.50
%",29.7,85.46,0
313,1630,1619,1936,1561,688,144,355,"53.50
%",29.7,85.46,0
314,1629,1625,1941,1571,699,149,352,"53.50
%",29.7,85.46,0
314,1631,1639,1952,1579,687,149,352,"53.50
%",29.7,85.46,0
308,1626,1643,1964,1587,699,126,349,"53.50
%",29.7,85.46,0
327,1626,1651,1969,1595,697,224,354,"53.50
%",29.7,85.46,0
317,1630,1658,1980,1608,700,157,343,"53.50
%",29.8,85.64,0
327,1643,1662,1981,1601,702,165,351,"53.50
%",29.8,85.64,0
330,1653,1663,1988,1616,700,164,347,"53.60
%",29.7,85.46,0
323,1664,1671,1997,1589,708,167,352,"53.60
%",29.7,85.46,0
335,1627,1671,1994,1617,698,155,390,"53.60
%",29.8,85.64,0
337,1674,1680,2000,1621,698,161,371,"53.60
%",29.8,85.64,0
346,1674,1679,1991,1621,701,161,352,"53.80
%",29.7,85.46,0
338,1676,1683,1999,1627,699,157,353,"53.80
%",29.7,85.46,0
381,1667,1677,1994,1633,700,160,351,"53.70
%",29.8,85.64,0
341,1672,1695,1999,1635,703,157,353,"53.70
%",29.8,85.64,0
341,1667,1676,1999,1636,706,154,348,"53.60
%",29.8,85.64,0
336,1664,1693,1996,1637,694,150,347,"53.60
%",29.8,85.64,0
336,1619,1687,2000,1641,701,154,349,"53.60
%",29.8,85.64,0
339,1650,1689,2002,1644,703,157,352,"53.60
%",29.8,85.64,0
337,1655,1699,2015,1641,701,157,370,"53.60
%",29.8,85.64,0
333,1650,1699,2023,1648,717,151,349,"53.60
%",29.8,85.64,0
336,1648,1697,2018,1648,704,149,347,"53.60
%",29.7,85.46,0
336,1648,1701,2021,1649,705,145,346,"53.60
%",29.7,85.46,0
332,1649,1712,2023,1647,704,149,349,"53.60
%",29.7,85.46,0
332,1646,1709,2031,1659,702,153,349,"53.60
%",29.7,85.46,0
331,1643,1710,2028,1650,700,150,349,"53.60
%",29.7,85.46,0
328,1646,1713,2032,1657,703,149,352,"53.60
%",29.7,85.46,0
323,1658,1716,2030,1653,697,154,348,"53.60
%",29.7,85.46,0
328,1617,1712,2031,1676,702,153,356,"53.60
%",29.7,85.46,0
331,1638,1712,2035,1660,647,156,349,"53.60
%",29.7,85.46,0
325,1638,1712,2031,1621,714,160,351,"53.60
%",29.7,85.46,0
324,1713,1712,2030,1655,704,150,371,"53.60
%",29.7,85.46,0
325,1632,1717,2032,1653,698,149,352,"53.60
%",29.7,85.46,0
325,1635,1723,2038,1659,703,154,351,"53.50
%",29.7,85.46,0
321,1629,1723,2031,1654,698,149,346,"53.50
%",29.7,85.46,0
323,1624,1712,2067,1660,701,150,352,"53.50
%",29.7,85.46,0
334,1619,1723,2029,1659,694,146,347,"53.50
%",29.7,85.46,0
323,1623,1714,2032,1663,706,144,343,"53.50
%",29.7,85.46,0
323,1616,1712,2032,1655,704,147,363,"53.50
%",29.7,85.46,0
319,1616,1713,2029,1654,702,144,350,"53.50
%",29.7,85.46,0
314,1613,1718,2029,1657,704,146,347,"53.50
%",29.7,85.46,0
335,1611,1712,2032,1653,698,143,351,"53.40
%",29.7,85.46,0
324,1610,1716,2033,1655,704,144,349,"53.40
%",29.7,85.46,0
318,1606,1718,2036,1657,704,144,349,"53.40
%",29.7,85.46,0
311,1606,1681,2001,1627,697,140,350,"53.40
%",29.7,85.46,0
304,1606,1669,1984,1621,689,130,347,"53.40
%",29.7,85.46,0
320,1610,1722,2032,1642,699,144,351,"53.40
%",29.7,85.46,0
316,1616,1725,2042,1655,695,146,350,"53.50
%",29.7,85.46,0
325,1616,1715,2033,1655,704,158,348,"53.50
%",29.7,85.46,0
323,1623,1718,2025,1649,703,128,351,"53.70
%",29.7,85.46,0
325,1627,1715,2027,1651,704,153,351,"53.70
%",29.7,85.46,0
325,1631,1713,2027,1649,703,163,352,"53.80
%",29.7,85.46,0
331,1632,1712,2033,1653,705,173,348,"53.80
%",29.7,85.46,0
328,1642,1715,2037,1661,706,176,347,"53.70
%",29.7,85.46,0
334,1648,1723,2031,1633,704,186,350,"53.70
%",29.7,85.46,0
336,1648,1725,2032,1655,706,187,354,"53.70
%",29.7,85.46,0
341,1654,1706,2045,1663,710,183,350,"53.70
%",29.7,85.46,0
348,1670,1725,2033,1665,707,193,349,"53.70
%",29.7,85.46,0
346,1680,1728,2044,1665,702,192,345,"53.70
%",29.7,85.46,0
347,1690,1685,2035,1667,701,191,341,"53.70
%",29.7,85.46,0
345,1695,1737,2047,1680,701,179,348,"53.70
%",29.7,85.46,0
352,1697,1727,2032,1667,705,181,350,"53.70
%",29.7,85.46,0
345,1697,1729,2034,1673,707,176,350,"53.70
%",29.7,85.46,0
341,1705,1744,2063,1629,704,175,343,"53.60
%",29.7,85.46,0
